gene,counts
DYNC1H1,9823.0
GRIA2,9811.0
SLC1A3,9810.0
ATP1A1,9764.0
S100B,9739.0
RPL18A,9706.0
MZT2B,9694.0
TMEM59L,9688.0
EID1,9672.0
ATP5IF1,9655.0
NDUFA5,9629.0
MARCKS,9595.0
DDX24,9587.0
NDUFB8,9558.0
FBXW7,9531.0
NDUFB1,9524.0
GCC2,9505.0
NRXN1,9481.0
PRDX5,9473.0
SCN2A,9429.0
NCDN,9393.0
COX7B,9377.0
NRCAM,9350.0
REEP5,9324.0
COX6B1,9300.0
TERF2IP,9228.0
COPS9,9224.0
SLC22A17,9217.0
GPI,9211.0
CYCS,9151.0
AP2M1,9079.0
RAC1,9072.0
SNCA,9049.0
COX8A,9017.0
OXR1,9014.0
PRKACB,9007.0
RPS2,9007.0
PINK1,9004.0
SERF2,8999.0
GDI1,8881.0
TMOD2,8869.0
UQCR10,8866.0
RNF11,8861.0
SNCB,8830.0
HSPH1,8815.0
ATP5PF,8801.0
GABRA1,8764.0
ATP6V1E1,8750.0
MYL6,8741.0
MLLT11,8733.0
UBL5,8733.0
ATP5MG,8715.0
PRKAR1A,8704.0
PGK1,8657.0
NDUFB2,8655.0
AUXG01000058.1,8619.0
SCD5,8588.0
SPTAN1,8569.0
SYN2,8565.0
GTF2I,8538.0
PCSK1N,8509.0
KIF21A,8505.0
KIF1A,8379.0
NDUFA1,8360.0
GHITM,8354.0
MYCBP2,8282.0
KTN1,8228.0
RPL10A,8227.0
SUB1,8198.0
HNRNPK,8197.0
TAX1BP1,8173.0
CANX,8124.0
BEX2,8120.0
CCDC85B,8089.0
SCD,8066.0
EEF1B2,8040.0
MAPK10,8035.0
TAGLN3,8033.0
SCN3B,8007.0
NDUFA3,8001.0
KIF1B,7980.0
TPM3,7975.0
PSIP1,7918.0
PIK3R1,7890.0
ARHGAP5,7879.0
SNX3,7847.0
OPTN,7844.0
BEX5,7842.0
RPS5,7837.0
NPTX1,7828.0
ARF3,7816.0
TOMM20,7799.0
PNMA2,7774.0
MT2A,7764.0
PHYHIP,7756.0
SNHG6,7750.0
RPS3,7741.0
DCLK1,7704.0
NPTN,7688.0
EIF5,7666.0
ANK3,7648.0
ATP5PO,7640.0
NCAM1,7637.0
GNG3,7620.0
PARK7,7619.0
UGP2,7613.0
ATP2A2,7598.0
PLCB1,7594.0
NEGR1,7582.0
FGF12,7580.0
SEPTIN3,7577.0
BAALC,7567.0
PMP2,7563.0
TCEAL2,7533.0
RPS15A,7515.0
LGALS1,7515.0
CAMK2B,7490.0
AKAP9,7475.0
KIF5B,7436.0
PRDX2,7424.0
CA11,7353.0
DNAJC6,7319.0
SYP,7306.0
RPS10,7291.0
SET,7271.0
EEF1G,7229.0
BSCL2,7217.0
RNF187,7211.0
HNRNPA2B1,7203.0
HNRNPDL,7188.0
ATP5MC3,7186.0
NUDT3,7168.0
GOLGB1,7154.0
MICOS10,7139.0
QKI,7131.0
RBFOX1,7127.0
ROCK2,7102.0
MAP4,7091.0
TSPAN3,7090.0
BDP1,7087.0
PGM2L1,7069.0
PI4KA,7065.0
HIGD1A,7059.0
HNRNPA1,7040.0
TRIM2,7036.0
CNTN1,7034.0
SLC25A3,7026.0
DYNLL2,7012.0
YWHAQ,7012.0
TCF4,7007.0
GABARAP,6985.0
AKAP11,6984.0
PSD3,6971.0
GABARAPL1,6950.0
HOPX,6943.0
TMBIM6,6936.0
FAIM2,6923.0
CAMSAP2,6921.0
MGST3,6900.0
PLD3,6900.0
AKAP12,6882.0
PTN,6876.0
APLP2,6872.0
ACTR2,6866.0
TCEAL4,6834.0
B4GAT1,6786.0
TUBB,6784.0
BCAS1,6749.0
CHCHD10,6748.0
RUFY3,6747.0
DDX5,6730.0
CTSB,6727.0
TMEM130,6727.0
LSAMP,6722.0
NEDD8,6719.0
CTNND2,6713.0
NCALD,6711.0
CAMTA1,6703.0
PCMT1,6671.0
TTLL7,6659.0
NTM,6657.0
STMN3,6632.0
BOD1L1,6627.0
SRPK2,6622.0
C9orf16,6618.0
ZC3H13,6617.0
ATP6V0B,6605.0
LMO3,6603.0
CSDE1,6572.0
CYFIP2,6558.0
PAK1,6544.0
DNAJA1,6526.0
SYT4,6522.0
BTBD8,6513.0
NCKAP1,6509.0
PRKAR1B,6489.0
RPS26,6472.0
SORL1,6468.0
NDUFB7,6460.0
PAFAH1B1,6450.0
ATP5MF,6424.0
MORF4L2,6424.0
DMTN,6409.0
EIF4G2,6406.0
CACYBP,6396.0
ENSA,6396.0
DYNLRB1,6396.0
SON,6395.0
B2M,6392.0
PAK3,6380.0
ATP5PD,6378.0
SHTN1,6366.0
PABPC1,6361.0
TUBB4A,6354.0
OSBPL1A,6343.0
OCIAD1,6336.0
RUNDC3A,6325.0
PEG3,6315.0
HDGFL3,6314.0
BPTF,6297.0
PRXL2A,6296.0
MOAP1,6271.0
GNAQ,6269.0
BNIP3,6268.0
NME2,6268.0
ATP2B2,6266.0
ATP9A,6265.0
RPLP0,6250.0
WBP2,6247.0
CLIP3,6246.0
APBB1,6228.0
PPP2R1A,6200.0
ARL6IP4,6194.0
CD81,6190.0
PPP2CB,6187.0
ATP6V1A,6186.0
ADD3,6171.0
COX5A,6163.0
KIF3C,6162.0
SCG5,6159.0
PTMS,6156.0
GABBR1,6155.0
GABARAPL2,6143.0
NAA38,6128.0
PRRC2C,6127.0
ZEB2,6117.0
TBCA,6108.0
PIN1,6108.0
CRYAB,6103.0
PPP1CB,6098.0
RAB3A,6084.0
RSF1,6081.0
CAMK2A,6065.0
RTL8C,6060.0
LDHA,6046.0
PPP1R12A,6036.0
ATP6V1B2,6029.0
MAPK1,6026.0
RPL36AL,6019.0
SYN1,6014.0
ATP5F1D,5997.0
ZC3H15,5996.0
SERINC3,5992.0
WSB2,5991.0
SLC25A6,5981.0
TRIM44,5966.0
GRIN1,5963.0
MACF1,5954.0
GOT1,5948.0
RACK1,5941.0
MAPRE2,5941.0
ASH1L,5938.0
HNRNPU,5937.0
EDF1,5936.0
ST13,5931.0
BEX4,5920.0
SMARCA2,5917.0
DDAH1,5886.0
ARHGAP21,5885.0
TTYH1,5885.0
QDPR,5869.0
RNASEK,5860.0
SCOC,5828.0
PPIG,5826.0
G3BP2,5809.0
CPLX2,5805.0
GOLGA4,5802.0
SV2B,5781.0
C4orf48,5781.0
HPCAL4,5775.0
ZNF483,5754.0
S100A13,5754.0
PRDX1,5709.0
PPP3CB,5705.0
PCBP2,5705.0
NELL2,5691.0
RAB2A,5688.0
OGA,5686.0
MAPK8IP2,5673.0
