cell_id,sample_id,technology,x_centroid,y_centroid,predicted_celltype,max_celltype_score
aaadcmam-1,Br2039,Xenium,517.1423950195312,779.7788696289062,Astrocyte,5.483983516693115
aaaebfdc-1,Br2039,Xenium,515.88623046875,794.5439453125,Astrocyte,4.715592384338379
aaakemoh-1,Br2039,Xenium,441.68707275390625,786.392578125,Astrocyte,2.536742925643921
aaaliife-1,Br2039,Xenium,489.26409912109375,876.8255615234375,Astrocyte,4.838191509246826
aaalklik-1,Br2039,Xenium,486.9981994628906,897.6886596679688,Astrocyte,5.791881561279297
aaamcbek-1,Br2039,Xenium,483.2167053222656,889.0183715820312,Astrocyte,3.7670602798461914
aaaoncle-1,Br2039,Xenium,524.1223754882812,863.66162109375,Astrocyte,5.770416736602783
aabbfmgo-1,Br2039,Xenium,540.7283935546875,874.8344116210938,Astrocyte,2.77215313911438
aabccmcc-1,Br2039,Xenium,534.5565795898438,874.2631225585938,Astrocyte,5.151231288909912
aabdjmbd-1,Br2039,Xenium,536.91357421875,883.6637573242188,Astrocyte,4.981161117553711
aabflinm-1,Br2039,Xenium,433.5006103515625,796.9719848632812,Astrocyte,1.7664430141448975
aabhmipa-1,Br2039,Xenium,442.0223693847656,847.6236572265625,Astrocyte,2.3880765438079834
aabildga-1,Br2039,Xenium,473.8566589355469,841.6571044921875,Astrocyte,5.842485427856445
aabjablj-1,Br2039,Xenium,436.9609069824219,806.0769653320312,Astrocyte,4.18411922454834
aabjeifi-1,Br2039,Xenium,569.72509765625,1003.9222412109375,Astrocyte,4.648279666900635
aabmcpka-1,Br2039,Xenium,581.4205322265625,998.3112182617188,Astrocyte,4.18411922454834
aabmhhla-1,Br2039,Xenium,582.39453125,898.1829223632812,Astrocyte,5.298261642456055
aabnkgpl-1,Br2039,Xenium,573.70458984375,888.2447509765625,Astrocyte,4.947059631347656
aabojmfd-1,Br2039,Xenium,599.1055297851562,1088.5284423828125,Astrocyte,3.5686304569244385
aacaaonk-1,Br2039,Xenium,584.0559692382812,1148.754638671875,Astrocyte,3.9883904457092285
aacbmmge-1,Br2039,Xenium,607.0698852539062,1140.409423828125,Astrocyte,4.234723091125488
aacdfeen-1,Br2039,Xenium,601.5289916992188,1127.0181884765625,Astrocyte,5.076674461364746
aacdjhpf-1,Br2039,Xenium,579.6424560546875,1124.968505859375,Astrocyte,5.3034467697143555
aacebmhe-1,Br2039,Xenium,606.9328002929688,1095.8018798828125,Astrocyte,4.075693607330322
aacjmhnc-1,Br2039,Xenium,607.10693359375,1038.0997314453125,Astrocyte,4.508740425109863
aackhcei-1,Br2039,Xenium,612.6428833007812,1053.6475830078125,Astrocyte,4.848245143890381
aackjhif-1,Br2039,Xenium,610.1321411132812,1044.664794921875,Astrocyte,4.929502964019775
aackojkn-1,Br2039,Xenium,533.2518920898438,1087.787353515625,Oligodendrocyte,5.184876441955566
aaclcdfb-1,Br2039,Xenium,534.9555053710938,1116.4921875,Astrocyte,5.463537216186523
aacmhkhm-1,Br2039,Xenium,541.590576171875,1080.3553466796875,Astrocyte,4.815310478210449
aacnmabc-1,Br2039,Xenium,540.431396484375,1125.74951171875,Astrocyte,4.777947425842285
aacogbin-1,Br2039,Xenium,596.0260009765625,1022.5518188476562,Astrocyte,4.758949279785156
aacpbfpk-1,Br2039,Xenium,590.963134765625,1066.720947265625,Astrocyte,5.642032623291016
aadaedeo-1,Br2039,Xenium,594.9053344726562,1030.2879638671875,Astrocyte,4.5443620681762695
aadaomki-1,Br2039,Xenium,553.8037719726562,1058.993408203125,Astrocyte,3.277529716491699
aadedjhg-1,Br2039,Xenium,554.3450927734375,1046.5770263671875,Astrocyte,3.311697006225586
aadejeid-1,Br2039,Xenium,554.6763916015625,1027.424560546875,Astrocyte,4.802938461303711
aadgnokb-1,Br2039,Xenium,611.9122924804688,787.3397827148438,Astrocyte,3.634624481201172
aadingle-1,Br2039,Xenium,619.4419555664062,981.6127319335938,Astrocyte,5.210933685302734
aadmhllc-1,Br2039,Xenium,624.03076171875,966.047119140625,Astrocyte,5.04995059967041
aaeabonp-1,Br2039,Xenium,617.5825805664062,828.158447265625,Astrocyte,4.211848258972168
aaecgklj-1,Br2039,Xenium,612.3776245117188,842.1201171875,Astrocyte,5.112180709838867
aaedkjob-1,Br2039,Xenium,561.461669921875,838.158203125,Astrocyte,5.606451988220215
aaedolie-1,Br2039,Xenium,550.5155029296875,876.0601196289062,Astrocyte,2.1007728576660156
aaehogii-1,Br2039,Xenium,565.988525390625,856.8577880859375,Microglia,2.3167431354522705
aaeifmgp-1,Br2039,Xenium,581.7230834960938,836.8533935546875,Astrocyte,4.690670967102051
aaekhbib-1,Br2039,Xenium,597.1976928710938,828.4733276367188,Astrocyte,2.552773952484131
aaemphpl-1,Br2039,Xenium,593.430419921875,871.777099609375,Astrocyte,5.07889461517334
aaeobhco-1,Br2039,Xenium,588.930419921875,856.670166015625,Astrocyte,5.319721698760986
aafananc-1,Br2039,Xenium,594.22607421875,850.9417724609375,Astrocyte,4.455309867858887
aaffecoe-1,Br2039,Xenium,593.1265258789062,836.81982421875,Astrocyte,4.050545692443848
aaffjcag-1,Br2039,Xenium,483.83612060546875,1052.003662109375,Astrocyte,5.021910667419434
aafhdpki-1,Br2039,Xenium,484.851806640625,1114.71875,Astrocyte,4.601815700531006
